gppd_idnr,name,latitude,longitude,total_no2,total_weighted_no2
USA0055138,Walton Discover Power Facility,32.541,-85.0389,0.0,0.0
USA0055242,Santa Rosa Energy Center,30.5664,-87.115,0.0,0.0
USA0007988,Silver Creek,31.6004,-89.9468,0.18732744986684494,0.688314393589005
USA0007873,H L Culbreath Bayside Power Station,27.9072,-82.4231,144.52623989439377,100.89104880065912
USA0055412,Osprey Energy Center Power Plant,28.0525,-81.8083,3.842343437615836,3.905917131326751
USA0054365,Orange Cogeneration Facility,27.8708,-81.8251,0.0,0.0
USA0007699,Tiger Bay,27.7464,-81.8494,0.0,0.0
USA0006043,Martin,27.0536,-80.5628,317.8238512287487,126.29478868982345
USA0007345,University of Florida,29.6403,-82.3486,0.0,0.0
USA0055244,Doyle Energy Facility,33.8377,-83.6996,3.109242978818017,4.58342073235039
USA0055672,AL Sandersville LLC,33.1189,-82.8608,5.70638007504095,4.931072467472231
USA0058260,Brunswick County Power Station,36.765,-77.7139,41.591362602385274,35.37169866445982
USA0003796,Bremo Bluff,37.7089,-78.2878,0.0,0.0
USA0055298,Fairless Energy Center,40.1475,-74.7411,82.1756473233892,75.60409833662352
USA0050497,Bayonne Plant Holding LLC,40.6553,-74.1124,0.0,0.0
USA0058079,Newark Energy Center,40.7072,-74.1258,49.61413181932515,48.781239738525414
USA0007909,Vernon Boulevard,40.7537,-73.9508,0.0,0.0
USA0007915,North 1st,40.7171,-73.9664,0.0,0.0
USA0007913,Hell Gate,40.799,-73.9094,0.0,0.0
USA0007914,Harlem River Yard,40.7991,-73.9156,0.0,0.0
USA0057839,Woodbridge Energy Center,40.515,-74.3189,33.558354324089805,38.28585160908293
USA0010308,Sayreville Cogeneration Facility,40.439,-74.3444,5.516632045564873,8.443766089648465
USA0056397,Hunlock Unit 4,41.2025,-76.0683,0.0,0.0
USA0055193,Ontelaunee Energy Center,40.4219,-75.9356,10.043065488549102,14.002434453542815
USA0055337,TalenEnergy Ironwood LLC,40.3509,-76.3658,11.375424821841197,11.178982227947564
USA0055231,Liberty Electric Power Plant,39.8614,-75.3358,9.13976962509616,13.936030554757137
USA0050561,Eagle Point Power Generation,39.8746,-75.1592,0.0,0.0
USA0010751,Camden Plant Holding LLC,39.9175,-75.1192,0.0,0.0
USA0056963,West Deptford Energy Station,39.8414,-75.2214,17.443561459845927,19.599111132008392
USA0007153,Hay Road,39.7436,-75.5072,57.74707673812407,48.34380124516841
USA0058235,Clayville,39.4244,-75.02,0.0,0.0
USA0001553,Gould Street,39.2663,-76.6047,0.0,0.0
USA0001560,Westport,39.266,-76.6295,0.0,0.0
USA0055976,Hunterstown Power Plant,39.8725,-77.1672,19.732784130926635,21.885300570220174
USA0058426,Panda Patriot Generation Plant,41.1808,-76.8392,9.682142841724808,9.979829343361313
USA0055107,Rhode Island State Energy Center,41.8017,-71.5186,1.9391140927821657,2.925760048286579
USA0055026,Dighton Power Plant,41.8312,-71.1239,0.0,0.0
USA0055041,Berkshire Power,42.0476,-72.6478,0.0,0.0
USA0055042,Bridgeport Energy Project,41.1692,-73.1844,8.505402802780175,9.706403051934789
USA0007912,Brentwood,40.7871,-73.2934,0.0,0.0
USA0055068,Maine Independence Station,44.8242,-68.7094,0.9313980104828984,1.3478921113369373
USA0055100,Rumford Power  Inc,44.5303,-70.5219,0.0,0.0
USA0054574,Saranac Facility,44.7132,-73.4557,0.0,0.0
USA0054592,Massena Energy Facility,44.9503,-74.8928,0.0,0.0
USA0055102,Livingston Generating Station,45.0304,-84.7308,0.0,0.0
