Facility Name,State,1995 NOX Emissions (tons),2019 NOX Emissions (tons),1995 vs 2019 NOX Emissions (tons),Latitude (degrees),Longitude (degrees)
Cameo,CO,"1,887",,,39.1486,-108.3189
Cherokee,CO,"19,617",509.00,"-19,108",39.8078,-104.9648
Comanche (470),CO,"6,298",4469.00,"-1,829",38.2081,-104.5747
Craig,CO,"14,574",7989.00,"-6,585",40.4627,-107.5912
Fort St. Vrain,CO,,459.00,,40.2461,-104.8742
Fountain Valley Power Plant,CO,,34.00,,38.5569,-104.6875
Frank Knutson Station,CO,,16.00,,39.9414,-104.6817
Front Range Power Plant,CO,,362.00,,38.6281,-104.7069
Hayden,CO,"14,298",738.00,"-13,560",40.4856,-107.185
J M Shafer,CO,,223.00,,40.0979,-104.7745
Limon Generating Station,CO,,13.00,,39.2038,-103.7005
Manchief Generating Station,CO,,99.00,,40.2201,-103.679
Martin Drake,CO,"8,108",1008.00,"-7,100",38.8244,-104.8331
Nucla,CO,681,239.00,-442,38.2387,-108.5083
Pawnee,CO,"4,869",792.00,"-4,077",40.2217,-103.6803
Pueblo Airport Generating Station,CO,,35.00,,38.322,-104.533
Rawhide Energy Station,CO,"3,743",1150.00,"-2,593",40.8611,-105.0206
Ray D Nixon,CO,"3,301",950.00,"-2,351",38.6306,-104.7056
Rocky Mountain Energy Center,CO,,158.00,,40.0911,-104.5947
Spindle Hill Energy Center,CO,,78.00,,40.0914,-104.8819
Valmont,CO,"3,251",,,40.0195,-105.202
Valmont Combustion Turbine Facility,CO,,,,40.0197,-105.202
Zuni,CO,35,22.00,-13,39.7369,-105.0169
Alfred L Pierce Generating Station,CT,,1.00,,41.4485,-72.834
Bridgeport Energy,CT,,169.00,,41.1692,-73.1844
Bridgeport Harbor Station,CT,"3,323",70.00,"-3,253",41.1706,-73.1843
CPV Towantic Energy Center,CT,,76.00,,41.4841,-73.1229
Capitol District Energy Center,CT,,3.00,,41.7639,-72.6925
Devon,CT,0,9.00,9,41.2083,-73.1092
Kleen Energy Systems Project,CT,,64.00,,41.5526,-72.597
Lake Road Generating Company,CT,,112.00,,41.8736,-71.8947
Middletown,CT,"1,750",153.00,"-1,597",41.5544,-72.5793
Milford Power Company LLC,CT,,85.00,,41.2239,-73.1
Montville,CT,345,7.00,-338,41.4281,-72.1019
New Haven Harbor,CT,"1,224",6.00,"-1,218",41.2836,-72.9042
Norwalk Harbor Station,CT,0,,,41.0732,-73.4098
"Wallingford Energy, LLC",CT,,6.00,,41.4486,-72.8358
Waterbury Generation,CT,,1.00,,41.5444,-73.0416
Benning Generation Station,DC,357,,,38.8994,-76.9592
Delaware City Refinery,DE,,69.00,,39.5936,-75.6337
Edge Moor,DE,"5,835",61.00,"-5,774",39.7372,-75.5033
Garrison Energy Center,DE,,40.00,,39.1882,-75.4999
Hay Road,DE,161,112.00,-49,39.7436,-75.5072
Indian River,DE,"10,356",74.00,"-10,282",38.5857,-75.2341
McKee Run,DE,909,4.00,-905,39.1748,-75.5455
NRG Energy Center Dover,DE,,11.00,,39.1467,-75.5461
Van Sant,DE,45,4.00,-41,39.15,-75.5466
Warren F. Sam Beasley Pwr Station,DE,,3.00,,39.2798,-75.6246
Anclote,FL,"5,867",1335.00,"-4,532",28.1844,-82.7887
Arvah B Hopkins,FL,"1,064",98.00,-966,30.4522,-84.4
Auburndale Peaker Energy Center,FL,,,,28.0534,-81.8059
Bayside Power Station,FL,,363.00,,27.9072,-82.4231
Big Bend,FL,"57,483",2277.00,"-55,207",27.7944,-82.4036
Brandy Branch,FL,,152.00,,30.3206,-81.9486
C D McIntosh Jr Power Plant,FL,"6,802",1162.00,"-5,640",28.0809,-81.9256
Cane Island,FL,0,118.00,118,28.2764,-81.533
Cape Canaveral,FL,"8,914",171.00,"-8,743",28.4694,-80.7642
Charles Larsen Memorial Power Plant,FL,118,36.00,-82,28.0491,-81.9238
Crist Electric Generating Plant,FL,"13,696",,,30.5661,-87.2289
Crystal River,FL,"38,761",2944.00,"-35,817",28.9594,-82.7003
Curtis H. Stanton Energy Center,FL,"5,189",4532.00,-657,28.4836,-81.1686
Cutler,FL,106,,,25.6321,-80.2989
Debary,FL,0,70.00,70,28.9047,-81.3319
Deerhaven,FL,"3,821",1388.00,"-2,433",29.7586,-82.3883
Deerhaven Renewable Energy Center,FL,,277.00,,29.7675,-82.3964
F J Gannon,FL,"40,074",,,27.9083,-82.4194
Fort Myers,FL,"5,162",862.00,"-4,300",26.6967,-81.7831
Greenland Energy Center,FL,,75.00,,30.1603,-81.5164
Hardee Power Station,FL,,3.00,,27.6364,-81.9636
Henry D King,FL,46,,,27.45,-80.3239
Hines Energy Complex,FL,,683.00,,27.7886,-81.8694
Hookers Point,FL,430,,,27.9381,-82.4436
Indian River (55318),FL,0,,,28.4933,-80.7825
Indian River (683),FL,0,13.00,13,28.4933,-80.7825
Intercession City,FL,0,122.00,122,28.2628,-81.5486
J D Kennedy,FL,53,40.00,-13,30.3644,-81.6236
J R Kelly,FL,149,60.00,-89,29.6467,-82.3219
Lansing Smith Generating Plant,FL,"6,980",405.00,"-6,575",30.2689,-85.7003
Lauderdale,FL,"2,780",67.00,"-2,713",26.0681,-80.1983
Manatee,FL,"6,783",976.00,"-5,807",27.6058,-82.3456
Martin,FL,"3,916",594.00,"-3,322",27.0536,-80.5628
Midulla Generating Station,FL,,451.00,,27.6417,-81.9625
Mulberry Cogeneration Facility,FL,1,64.00,63,27.8489,-81.8775
Northside,FL,"3,103",2864.00,-239,30.4172,-81.5525
Okeechobee Clean Energy Center,FL,,186.00,,27.6342,-80.7911
Oleander Power Project,FL,,35.00,,28.3661,-80.7947
Orange Cogeneration Facility,FL,52,81.00,29,27.8708,-81.8253
Orlando CoGen,FL,188,200.00,12,28.4422,-81.4119
Osceola,FL,,,,28.1289,-81.0978
Osprey Energy Center,FL,,91.00,,28.0525,-81.8083
P L Bartow,FL,"3,020",735.00,"-2,285",27.8613,-82.6012
Polk,FL,,513.00,,27.7286,-81.9897
Port Everglades,FL,"8,969",169.00,"-8,800",26.0856,-80.1253
Putnam,FL,0,,,29.6283,-81.5856
"Quantum Auburndale Power, LP",FL,0,,,28.0542,-81.8058
Reedy Creek,FL,43,6.00,-37,28.4272,-81.5803
Riviera Beach Energy Center,FL,"8,549",165.00,"-8,384",26.7653,-80.0528
S O Purdom,FL,217,124.00,-93,30.1619,-84.2014
Sanford,FL,"8,977",952.00,"-8,025",28.8419,-81.3256
Santa Rosa Energy Center,FL,,155.00,,30.5661,-87.115
Scholz Electric Generating Plant,FL,740,,,30.6689,-84.8869
Seminole (136),FL,"20,616",2203.00,"-18,413",29.7333,-81.6339
Shady Hills,FL,,44.00,,28.3665,-82.5591
